2021-01-07 01:44:57.3327 | INFO | ProjAssignment.LoggingHelper | Order # 65431 Validation Ended
2021-01-07 01:44:57.3327 | INFO | ProjAssignment.LoggingHelper | Order # 65431 Amount Calculation Started
2021-01-07 01:44:57.3327 | INFO | ProjAssignment.LoggingHelper | Item Name: A, Amount: 299.5
2021-01-07 01:44:57.3327 | INFO | ProjAssignment.LoggingHelper | Item Name: B, Amount: 2397
2021-01-07 01:44:57.3327 | INFO | ProjAssignment.LoggingHelper | Item Name: C, Amount: 19.54
2021-01-07 01:44:57.3486 | INFO | ProjAssignment.LoggingHelper | Order # 65431  Total Amount = 2716
2021-01-07 01:44:57.3486 | INFO | ProjAssignment.LoggingHelper | Order # 65431 Ended
2021-01-07 01:44:57.3486 | INFO | ProjAssignment.LoggingHelper | End of Unit Test : Void TestItem_ABC_Together() 
--------------------
2021-01-07 01:44:57.3486 | INFO | ProjAssignment.LoggingHelper | Start of Unit Test : Void TestInvalidItem() 
2021-01-07 01:44:57.4434 | INFO | ProjAssignment.LoggingHelper | Order # 12111 processing started
2021-01-07 01:44:57.4434 | INFO | ProjAssignment.LoggingHelper | Order # 12111 Validation Started
2021-01-07 01:44:57.4434 | ERROR | ProjAssignment.LoggingHelper | Invalid Item found: Name Z , Reason: Item Not found
2021-01-07 01:44:57.4434 | INFO | ProjAssignment.LoggingHelper | Num of valid items: 2
2021-01-07 01:44:57.4434 | INFO | ProjAssignment.LoggingHelper | Num of In-valid items: 1
2021-01-07 01:44:57.4434 | INFO | ProjAssignment.LoggingHelper | Order # 12111 Validation Ended
2021-01-07 01:44:57.4434 | INFO | ProjAssignment.LoggingHelper | Order # 12111 Amount Calculation Started
2021-01-07 01:44:57.4600 | INFO | ProjAssignment.LoggingHelper | Item Name: A, Amount: 239.6
2021-01-07 01:44:57.4600 | INFO | ProjAssignment.LoggingHelper | Item Name: B, Amount: 2796
2021-01-07 01:44:57.4600 | INFO | ProjAssignment.LoggingHelper | Order # 12111  Total Amount = 3036
2021-01-07 01:44:57.4600 | INFO | ProjAssignment.LoggingHelper | Order # 12111 Ended
2021-01-07 01:44:57.4600 | INFO | ProjAssignment.LoggingHelper | Order # 12111 Validation Started
2021-01-07 01:44:57.4600 | ERROR | ProjAssignment.LoggingHelper | Invalid Item found: Name Z , Reason: Item Not found
2021-01-07 01:44:57.4600 | INFO | ProjAssignment.LoggingHelper | Num of valid items: 2
2021-01-07 01:44:57.4600 | INFO | ProjAssignment.LoggingHelper | Num of In-valid items: 1
2021-01-07 01:44:57.4600 | INFO | ProjAssignment.LoggingHelper | Order # 12111 Validation Ended
2021-01-07 01:44:57.4743 | INFO | ProjAssignment.LoggingHelper | Order # 12111 Amount Calculation Started
2021-01-07 01:44:57.4743 | INFO | ProjAssignment.LoggingHelper | Item Name: A, Amount: 239.6
2021-01-07 01:44:57.4743 | INFO | ProjAssignment.LoggingHelper | Item Name: B, Amount: 2796
2021-01-07 01:44:57.4743 | INFO | ProjAssignment.LoggingHelper | Order # 12111  Total Amount = 3036
